key,energy,liveliness,tempo,speechiness,acousticness,instrumentalness,time_signature,duration,loudness,valence,danceability,mode,time_signature_confidence,tempo_confidence,key_confidence,mode_confidence,genres
0.0,0.738781,0.068968,127.974,0.041858,0.000385,0.042075999999999995,1.0,4.0,334.24,-3.295,0.667005,0.754131,0.085,0.14100000000000001,0.774,1.0,dance
7.0,0.617421,0.359506,124.969,0.105055,0.07553599999999999,0.0,1.0,4.0,229.90367,-13.025,0.9313,0.7559079999999999,0.004,0.161,0.73,0.996,dance
9.0,0.8939900000000001,0.15115299999999998,139.989,0.050686999999999996,0.0006749999999999999,3e-06,0.0,4.0,215.6,-5.739,0.381762,0.543024,0.704,0.559,0.66,1.0,dance
1.0,0.8883979999999999,0.8440759999999999,124.044,0.047979,0.002764,1e-06,0.0,4.0,187.30667,-5.211,0.55688,0.5940909999999999,0.331,0.581,0.778,0.995,dance
4.0,0.65376,0.098788,124.296,0.044982,0.09869399999999999,1.3000000000000001e-05,0.0,4.0,223.82667,-11.033,0.838468,0.842239,0.32,0.36,0.913,1.0,dance
6.0,0.8489200000000001,0.119727,127.937,0.099315,0.016288,0.0,1.0,4.0,207.33333,-1.675,0.46676199999999995,0.496032,0.374,0.397,0.656,0.995,dance
5.0,0.894351,0.167314,119.529,0.055720000000000006,0.020652,0.0027689999999999998,0.0,4.0,285.22667,-6.3629999999999995,0.374758,0.657691,0.385,0.505,0.742,1.0,dance
6.0,0.9420149999999999,0.277576,95.999,0.053667,0.166424,2e-06,1.0,4.0,241.37333,-3.224,0.960414,0.701718,0.5730000000000001,0.546,0.515,1.0,dance
1.0,0.8549319999999999,0.142147,128.0,0.061113,0.009597999999999999,0.066143,1.0,4.0,330.0,-6.039,0.078987,0.772581,0.55,0.588,0.9530000000000001,1.0,dance
7.0,0.920253,0.335036,108.029,0.028565,0.017984,0.0,1.0,4.0,288.3454,-3.385,0.818311,0.709835,0.45,0.625,0.913,1.0,dance
0.0,0.630558,0.152934,122.538,0.052613,0.362193,0.53286,1.0,5.0,271.28,-9.66,0.545349,0.472306,0.9510000000000001,0.763,0.059000000000000004,0.985,dance
5.0,0.96213,0.093606,173.998,0.061506,0.001308,0.371328,0.0,4.0,303.73333,-1.775,0.107503,0.46661,0.261,0.338,0.582,1.0,dance
